Fecha,Hora,Frecuencia (MHz),Nivel (dBuV)
2026-05-04,00:50:50.797,1565.0,-12.0
2026-05-04,00:50:50.797,1580.0,-12.7
2026-05-04,00:50:51.549,1565.0,-12.8
2026-05-04,00:50:51.549,1580.0,-13.0
2026-05-04,00:50:52.290,1565.0,-12.2
2026-05-04,00:50:52.290,1580.0,-12.7
2026-05-04,00:50:53.057,1565.0,-12.7
2026-05-04,00:50:53.057,1580.0,-12.9
2026-05-04,00:50:53.794,1565.0,-11.7
2026-05-04,00:50:53.794,1580.0,-13.5
2026-05-04,00:50:54.534,1565.0,-13.2
2026-05-04,00:50:54.534,1580.0,-12.8
2026-05-04,00:50:55.275,1565.0,-11.7
2026-05-04,00:50:55.275,1580.0,-12.9
2026-05-04,00:50:56.038,1565.0,-12.5
2026-05-04,00:50:56.038,1580.0,-13.3
2026-05-04,00:50:56.771,1565.0,-12.5
2026-05-04,00:50:56.771,1580.0,-12.6
