Fecha,Hora,Frecuencia (MHz),Nivel (dBuV)
2026-04-30,21:26:24.547,100.0,23.7
2026-04-30,21:26:24.547,105.0,-12.7
2026-04-30,21:26:25.309,100.0,24.2
2026-04-30,21:26:25.309,105.0,-12.7
2026-04-30,21:26:26.050,100.0,24.3
2026-04-30,21:26:26.050,105.0,-12.9
2026-04-30,21:26:26.809,100.0,23.8
2026-04-30,21:26:26.809,105.0,-12.7
2026-04-30,21:26:27.568,100.0,24.1
2026-04-30,21:26:27.568,105.0,-13.8
2026-04-30,21:26:28.335,100.0,24.1
2026-04-30,21:26:28.335,105.0,-13.1
2026-04-30,21:26:29.154,100.0,24.1
2026-04-30,21:26:29.154,105.0,-13.5
