Fecha,Hora,Frecuencia (MHz),Nivel (dBuV)
2026-04-30,00:33:15.975,1560.0,-12.4
2026-04-30,00:33:15.975,1560.307692,-12.5
2026-04-30,00:33:15.975,1560.615385,-12.4
2026-04-30,00:33:15.975,1560.923077,-12.1
2026-04-30,00:33:15.975,1561.230769,-12.6
2026-04-30,00:33:15.975,1561.538462,-12.1
2026-04-30,00:33:15.975,1561.846154,-12.8
2026-04-30,00:33:15.975,1562.153846,-13.0
2026-04-30,00:33:15.975,1562.461538,-12.7
2026-04-30,00:33:15.975,1562.769231,-12.6
2026-04-30,00:33:15.975,1563.076923,-12.0
2026-04-30,00:33:15.975,1563.384615,-11.9
2026-04-30,00:33:15.975,1563.692308,-12.7
2026-04-30,00:33:15.975,1564.0,-12.8
2026-04-30,00:33:15.975,1564.307692,-12.1
2026-04-30,00:33:15.975,1564.615385,-12.8
2026-04-30,00:33:15.975,1564.923077,-12.2
2026-04-30,00:33:15.975,1565.230769,-12.2
2026-04-30,00:33:15.975,1565.538462,-12.1
2026-04-30,00:33:15.975,1565.846154,-12.0
2026-04-30,00:33:15.975,1566.153846,-11.7
2026-04-30,00:33:15.975,1566.461538,-12.6
2026-04-30,00:33:15.975,1566.769231,-12.6
2026-04-30,00:33:15.975,1567.076923,-11.7
2026-04-30,00:33:15.975,1567.384615,-12.8
2026-04-30,00:33:15.975,1567.692308,-12.2
2026-04-30,00:33:15.975,1568.0,-12.2
2026-04-30,00:33:15.975,1568.307692,-12.7
2026-04-30,00:33:15.975,1568.615385,-12.3
2026-04-30,00:33:15.975,1568.923077,-13.2
2026-04-30,00:33:15.975,1569.230769,-12.6
2026-04-30,00:33:15.975,1569.538462,-12.5
2026-04-30,00:33:15.975,1569.846154,-13.1
2026-04-30,00:33:15.975,1570.153846,-12.8
2026-04-30,00:33:15.975,1570.461538,-12.0
2026-04-30,00:33:15.975,1570.769231,-11.9
2026-04-30,00:33:15.975,1571.076923,-11.9
2026-04-30,00:33:15.975,1571.384615,-11.6
2026-04-30,00:33:15.975,1571.692308,-12.8
2026-04-30,00:33:15.975,1572.0,-12.6
2026-04-30,00:33:15.975,1572.307692,-11.9
2026-04-30,00:33:15.975,1572.615385,-11.8
2026-04-30,00:33:15.975,1572.923077,-11.9
2026-04-30,00:33:15.975,1573.230769,-11.9
2026-04-30,00:33:15.975,1573.538462,-11.7
2026-04-30,00:33:15.975,1573.846154,-13.0
2026-04-30,00:33:15.975,1574.153846,-12.5
2026-04-30,00:33:15.975,1574.461538,-12.1
2026-04-30,00:33:15.975,1574.769231,-12.1
2026-04-30,00:33:15.975,1575.076923,-11.9
2026-04-30,00:33:15.975,1575.384615,-12.8
2026-04-30,00:33:15.975,1575.692308,-12.0
2026-04-30,00:33:15.975,1576.0,-12.4
2026-04-30,00:33:15.975,1576.307692,-12.3
2026-04-30,00:33:15.975,1576.615385,-14.2
2026-04-30,00:33:15.975,1576.923077,-12.5
2026-04-30,00:33:15.975,1577.230769,-12.6
2026-04-30,00:33:15.975,1577.538462,-12.2
2026-04-30,00:33:15.975,1577.846154,-12.2
2026-04-30,00:33:15.975,1578.153846,-11.3
2026-04-30,00:33:15.975,1578.461538,-11.9
2026-04-30,00:33:15.975,1578.769231,-12.5
2026-04-30,00:33:15.975,1579.076923,-11.8
2026-04-30,00:33:15.975,1579.384615,-12.2
2026-04-30,00:33:15.975,1579.692308,-12.5
2026-04-30,00:33:15.975,1580.0,-12.2
2026-04-30,00:33:16.719,1560.0,-12.2
2026-04-30,00:33:16.719,1560.47619,-11.8
2026-04-30,00:33:16.719,1560.952381,-12.5
2026-04-30,00:33:16.719,1561.428571,-11.8
2026-04-30,00:33:16.719,1561.904762,-12.2
2026-04-30,00:33:16.719,1562.380952,-12.2
2026-04-30,00:33:16.719,1562.857143,-11.5
2026-04-30,00:33:16.719,1563.333333,-12.0
2026-04-30,00:33:16.719,1563.809524,-12.6
2026-04-30,00:33:16.719,1564.285714,-12.9
2026-04-30,00:33:16.719,1564.761905,-12.0
2026-04-30,00:33:16.719,1565.238095,-12.2
2026-04-30,00:33:16.719,1565.714286,-13.0
2026-04-30,00:33:16.719,1566.190476,-12.3
2026-04-30,00:33:16.719,1566.666667,-12.6
2026-04-30,00:33:16.719,1567.142857,-12.7
2026-04-30,00:33:16.719,1567.619048,-13.3
2026-04-30,00:33:16.719,1568.095238,-12.0
2026-04-30,00:33:16.719,1568.571429,-12.8
2026-04-30,00:33:16.719,1569.047619,-12.8
2026-04-30,00:33:16.719,1569.52381,-12.7
2026-04-30,00:33:16.719,1570.0,-13.0
2026-04-30,00:33:16.719,1570.47619,-12.8
2026-04-30,00:33:16.719,1570.952381,-12.9
2026-04-30,00:33:16.719,1571.428571,-11.7
2026-04-30,00:33:16.719,1571.904762,-12.1
2026-04-30,00:33:16.719,1572.380952,-11.9
2026-04-30,00:33:16.719,1572.857143,-12.3
2026-04-30,00:33:16.719,1573.333333,-12.7
2026-04-30,00:33:16.719,1573.809524,-11.9
2026-04-30,00:33:16.719,1574.285714,-11.8
2026-04-30,00:33:16.719,1574.761905,-12.9
2026-04-30,00:33:16.719,1575.238095,-12.4
2026-04-30,00:33:16.719,1575.714286,-12.7
2026-04-30,00:33:16.719,1576.190476,-12.3
2026-04-30,00:33:16.719,1576.666667,-13.1
2026-04-30,00:33:16.719,1577.142857,-12.1
2026-04-30,00:33:16.719,1577.619048,-12.2
2026-04-30,00:33:16.719,1578.095238,-12.1
2026-04-30,00:33:16.719,1578.571429,-13.3
2026-04-30,00:33:16.719,1579.047619,-12.7
2026-04-30,00:33:16.719,1579.52381,-13.1
2026-04-30,00:33:16.719,1580.0,9.9e+37
2026-04-30,00:33:17.454,1560.0,-11.5
2026-04-30,00:33:17.454,1560.3125,-13.0
2026-04-30,00:33:17.454,1560.625,-11.7
2026-04-30,00:33:17.454,1560.9375,-11.7
2026-04-30,00:33:17.454,1561.25,-12.3
2026-04-30,00:33:17.454,1561.5625,-12.2
2026-04-30,00:33:17.454,1561.875,-12.3
2026-04-30,00:33:17.454,1562.1875,-11.3
2026-04-30,00:33:17.454,1562.5,-11.8
2026-04-30,00:33:17.454,1562.8125,-12.0
2026-04-30,00:33:17.454,1563.125,-12.8
2026-04-30,00:33:17.454,1563.4375,-11.6
2026-04-30,00:33:17.454,1563.75,-11.7
2026-04-30,00:33:17.454,1564.0625,-12.1
2026-04-30,00:33:17.454,1564.375,-11.9
2026-04-30,00:33:17.454,1564.6875,-11.9
2026-04-30,00:33:17.454,1565.0,-12.7
2026-04-30,00:33:17.454,1565.3125,-12.5
2026-04-30,00:33:17.454,1565.625,-12.4
2026-04-30,00:33:17.454,1565.9375,-11.2
2026-04-30,00:33:17.454,1566.25,-11.2
2026-04-30,00:33:17.454,1566.5625,-12.1
2026-04-30,00:33:17.454,1566.875,-12.6
2026-04-30,00:33:17.454,1567.1875,-12.1
2026-04-30,00:33:17.454,1567.5,-12.0
2026-04-30,00:33:17.454,1567.8125,-12.4
2026-04-30,00:33:17.454,1568.125,-12.8
2026-04-30,00:33:17.454,1568.4375,-12.1
2026-04-30,00:33:17.454,1568.75,-11.3
2026-04-30,00:33:17.454,1569.0625,-11.7
2026-04-30,00:33:17.454,1569.375,-12.1
2026-04-30,00:33:17.454,1569.6875,-12.1
2026-04-30,00:33:17.454,1570.0,-12.1
2026-04-30,00:33:17.454,1570.3125,-11.8
2026-04-30,00:33:17.454,1570.625,-11.7
2026-04-30,00:33:17.454,1570.9375,-11.4
2026-04-30,00:33:17.454,1571.25,-12.5
2026-04-30,00:33:17.454,1571.5625,-12.6
2026-04-30,00:33:17.454,1571.875,-12.3
2026-04-30,00:33:17.454,1572.1875,-11.2
2026-04-30,00:33:17.454,1572.5,-11.6
2026-04-30,00:33:17.454,1572.8125,-11.5
2026-04-30,00:33:17.454,1573.125,-12.0
2026-04-30,00:33:17.454,1573.4375,-12.5
2026-04-30,00:33:17.454,1573.75,-12.3
2026-04-30,00:33:17.454,1574.0625,-13.0
2026-04-30,00:33:17.454,1574.375,-11.7
2026-04-30,00:33:17.454,1574.6875,-12.5
2026-04-30,00:33:17.454,1575.0,-12.4
2026-04-30,00:33:17.454,1575.3125,-11.8
2026-04-30,00:33:17.454,1575.625,-12.5
2026-04-30,00:33:17.454,1575.9375,-12.0
2026-04-30,00:33:17.454,1576.25,-11.7
2026-04-30,00:33:17.454,1576.5625,-12.5
2026-04-30,00:33:17.454,1576.875,-11.6
2026-04-30,00:33:17.454,1577.1875,-11.7
2026-04-30,00:33:17.454,1577.5,-12.0
2026-04-30,00:33:17.454,1577.8125,-11.9
2026-04-30,00:33:17.454,1578.125,-11.8
2026-04-30,00:33:17.454,1578.4375,-11.8
2026-04-30,00:33:17.454,1578.75,-11.7
2026-04-30,00:33:17.454,1579.0625,-12.2
2026-04-30,00:33:17.454,1579.375,-12.1
2026-04-30,00:33:17.454,1579.6875,-12.3
2026-04-30,00:33:17.454,1580.0,-12.6
2026-04-30,00:33:18.206,1560.0,-12.0
2026-04-30,00:33:18.206,1560.30303,-12.2
2026-04-30,00:33:18.206,1560.606061,-13.2
2026-04-30,00:33:18.206,1560.909091,-12.0
2026-04-30,00:33:18.206,1561.212121,-12.4
2026-04-30,00:33:18.206,1561.515152,-12.3
2026-04-30,00:33:18.206,1561.818182,-12.0
2026-04-30,00:33:18.206,1562.121212,-11.9
2026-04-30,00:33:18.206,1562.424242,-11.2
2026-04-30,00:33:18.206,1562.727273,-11.9
2026-04-30,00:33:18.206,1563.030303,-12.3
2026-04-30,00:33:18.206,1563.333333,-12.7
2026-04-30,00:33:18.206,1563.636364,-12.5
2026-04-30,00:33:18.206,1563.939394,-11.8
2026-04-30,00:33:18.206,1564.242424,-12.6
2026-04-30,00:33:18.206,1564.545455,-12.2
2026-04-30,00:33:18.206,1564.848485,-13.0
2026-04-30,00:33:18.206,1565.151515,-12.6
2026-04-30,00:33:18.206,1565.454545,-13.0
2026-04-30,00:33:18.206,1565.757576,-11.0
2026-04-30,00:33:18.206,1566.060606,-12.0
2026-04-30,00:33:18.206,1566.363636,-12.3
2026-04-30,00:33:18.206,1566.666667,-12.9
2026-04-30,00:33:18.206,1566.969697,-12.7
2026-04-30,00:33:18.206,1567.272727,-11.7
2026-04-30,00:33:18.206,1567.575758,-13.0
2026-04-30,00:33:18.206,1567.878788,-11.6
2026-04-30,00:33:18.206,1568.181818,-12.2
2026-04-30,00:33:18.206,1568.484848,-11.8
2026-04-30,00:33:18.206,1568.787879,-12.2
2026-04-30,00:33:18.206,1569.090909,-13.0
2026-04-30,00:33:18.206,1569.393939,-11.6
2026-04-30,00:33:18.206,1569.69697,-12.4
2026-04-30,00:33:18.206,1570.0,-12.4
2026-04-30,00:33:18.206,1570.30303,-11.9
2026-04-30,00:33:18.206,1570.606061,-13.2
2026-04-30,00:33:18.206,1570.909091,-12.9
